Turn,Region,Start_Date,NDVI,Soil_Root_Pct,Soil_Surface_Pct,LST_Day_C
1,Brazil,2024-03-21,0.7785,24.6,22.3,25.090000000000032
2,Brazil,2024-04-06,0.8579,27.2,27.1,25.79285714285717
3,Brazil,2024-04-22,0.6802,34.7,34.7,24.51000000000002
4,Brazil,2024-05-08,0.303,40.7,39.4,16.958000000000027
5,Brazil,2024-05-24,0.2981,42.1,40.4,22.675000000000026
6,Brazil,2024-06-09,0.2602,42.1,40.5,24.250000000000018
7,Brazil,2024-06-25,0.2599,42.2,40.4,16.004285714285736
8,Brazil,2024-07-11,0.2656,41.2,39.4,22.181428571428587
9,Brazil,2024-07-27,0.2747,40.9,39.4,19.355000000000018
10,Brazil,2024-08-12,0.2867,40.4,38.7,19.11000000000003
11,Brazil,2024-08-28,0.3006,38.9,37.4,23.006000000000018
12,Brazil,2024-09-13,0.4001,39.0,37.9,23.264285714285734
13,Brazil,2024-09-29,0.4924,39.3,37.8,27.067500000000024
14,Brazil,2024-10-15,0.4182,36.0,32.8,31.94818181818184
15,Brazil,2024-10-31,0.2632,30.6,23.5,34.09857142857145
16,Brazil,2024-11-16,0.288,27.7,23.9,34.00000000000003
