Turn,Region,Start_Date,NDVI,Soil_Root_Pct,Soil_Surface_Pct,LST_Day_C
1,Iowa,2024-03-21,0.2316,33.4,33.2,21.150000000000034
2,Iowa,2024-04-06,0.2682,33.4,30.3,28.72000000000002
3,Iowa,2024-04-22,0.2919,36.7,35.2,25.340000000000032
4,Iowa,2024-05-08,0.2842,39.5,36.7,32.932857142857166
5,Iowa,2024-05-24,0.3784,41.5,38.7,29.715000000000018
6,Iowa,2024-06-09,0.6514,38.2,32.9,33.76333333333335
7,Iowa,2024-06-25,0.8674,39.4,37.8,29.163333333333366
8,Iowa,2024-07-11,0.8696,39.2,37.0,26.03666666666668
9,Iowa,2024-07-27,0.8903,37.4,33.1,27.334000000000024
10,Iowa,2024-08-12,0.8122,33.8,29.2,27.81500000000002
11,Iowa,2024-08-28,0.7799,31.0,24.7,27.497692307692333
12,Iowa,2024-09-13,0.4656,29.2,23.8,32.981428571428594
13,Iowa,2024-09-29,0.275,28.0,19.1,30.777500000000018
14,Iowa,2024-10-15,0.2524,27.0,18.8,22.892500000000034
15,Iowa,2024-10-31,0.2429,29.9,30.0,12.450000000000003
16,Iowa,2024-11-16,0.2252,30.7,29.1,9.550000000000026
