Turn,Region,Start_Date,NDVI,Soil_Root_Pct,Soil_Surface_Pct,LST_Day_C
1,Sahel,2024-03-21,0.1629,15.4,5.8,44.87800000000002
2,Sahel,2024-04-06,0.1767,15.4,6.6,50.860000000000035
3,Sahel,2024-04-22,0.1761,15.3,6.6,48.00454545454547
4,Sahel,2024-05-08,0.1781,15.8,9.1,45.1877777777778
5,Sahel,2024-05-24,0.1822,15.9,8.9,46.60454545454548
6,Sahel,2024-06-09,0.1797,17.8,12.2,37.42333333333335
7,Sahel,2024-06-25,0.1853,17.6,13.4,36.31000000000003
8,Sahel,2024-07-11,0.1555,23.0,20.5,36.110000000000014
9,Sahel,2024-07-27,0.3222,21.2,18.4,30.02000000000001
10,Sahel,2024-08-12,0.2843,27.9,26.8,32.77000000000004
11,Sahel,2024-08-28,-0.1382,28.2,26.3,32.629999999999995
12,Sahel,2024-09-13,-0.0847,27.9,25.9,30.31800000000002
13,Sahel,2024-09-29,0.4666,27.3,24.3,29.83250000000003
14,Sahel,2024-10-15,0.4378,25.9,19.5,29.74800000000003
15,Sahel,2024-10-31,0.525,24.9,17.6,30.59333333333335
16,Sahel,2024-11-16,0.5225,24.3,15.9,30.49000000000002
